question,answer
San,Sorry can't understand you.
mns faculty,Sorry can't understand you.
Room numner of RAA,Sorry can't understand you.
Email of ahr,Sorry can't understand you.
Room number of IBU,There is no information found regarding your query.
Room number of EHK,There is no information found regarding your query.
Ehsanul Kabir,Sorry can't understand you.
Aar,Sorry can't understand you.
AAR,Sorry can't understand you.
Annajiat,Sorry can't understand you.
Room no of ehsanul kabir,Sorry can't understand you.
Medical centre,Sorry can't understand you.
Email id of SKF,There is no information found regarding your query.
Email id of SAD,There is no information found regarding your query.
Email id of WAA,There is no information found regarding your quer
Sej,Sorry can't understand you.
Mlr email id,Sorry can't understand you.
Email id of mlr,There is no information found regarding your query.
Email id of MLR,There is no information found regarding your query.
Email id of MLR?,There is no information found regarding your query.
email id of fhd?,There is no information found regarding your query.
Full name of mzh,There is no information found regarding your query.
Full form of rfi,Sorry can't understand you.
Full name of sar,There is no information found regarding your query.
Full name of sae,There is no information found regarding your query.
Wifi password of UB71101,Sorry can't understand you.
Wifi password of UB71101,Sorry can't understand you.
Cse370,Sorry can't understand you.
Faculty of CSE370,Sorry can't understand you.
Advising date,Sorry can't understand you.
Advising,Sorry can't understand you.
Faculty,Sorry can't understand you.
Full name of waa,There is no information found regarding your query.
Full name of shs,There is no information found regarding your query.
Full name of aai,There is no information found regarding your query.
Full name of mzk,There is no information found regarding your query.
Afk,Sorry can't understand you.
Email of afk,Sorry can't understand you.
Email id of afk?,There is no information found regarding your query.
Email of szi,Sorry can't understand you.
Email id of afk?,There is no information found regarding your query.
Email id of abu?,There is no information found regarding your query.
Full name of abu?,There is no information found regarding your quer
Email id of sad,There is no information found regarding your query.
Full name of nrt,There is no information found regarding your query.
full name of nrt,There is no information found regarding your query.
Email id of roy,There is no information found regarding your query.
email id of roy?,There is no information found regarding your query.
email id of arka,There is no information found regarding your query.
email id of stja,There is no information found regarding your query.
email of tajnim imami,Sorry can't understand you.
Tajnim Imami,Sorry can't understand yo
Email of SAD,Sorry can't understand you.
Mail id of sad,There is no information found regarding your query.
Maid id of salman sir,Sorry can't understand you.
Mail id of mugdho sir?,There is no information found regarding your query.
Mail id of TSM?,There is no information found regarding your query.
MHAI full form,Sorry can't understand you.
Mail id of MHAI?,There is no information found regarding your query.
Mail id of mhai?,There is no information found regarding your query.
Mail id of mishaal hai,There is no information found regarding your query.
Initial of mhai,There is no information found regarding your query.
AAI mail,Sorry can't understand you.
Mail if of AAI,Sorry can't understand you.
Who is AAI,There is no information found regarding your query.
Full form of AAI?,Sorry can't understand you.
AAI,Sorry can't understand you.
email id of AAI,There is no information found regarding your quer
Can I get the email id of Saimum Talukdar sir who takes law 202 ?,There is no information found regarding your query.
Then mail id of Anusheh shihab Ali mam who takes law 201,There is no information found regarding your query.
Wtf is this then,Sorry can't understand you.
SRK ?,Sorry can't understand you.
"Yes, dangerous lady ... ðŸŒ¾",Sorry can't understand you.
Can you provide some information about counselling unit ?,Sorry can't understand you.
Email address of ABQ?,There is no information found regarding your query.
Full name of ACE,There is no information found regarding your query.
Whatâ€™s his department?,Sorry can't understand you.
Whatâ€™s the full name of ASI?,There is no information found regarding your query.
Name of ASI,Sorry can't understand you.
Can I have his mail ?,Sorry can't understand you.
Give me SIFâ€™s email id,Sorry can't understand yo
Who is MUA,There is no information found regarding your quer
What is TBA?,Sorry can't understand you.
Who is TBA?,There is no information found regarding your query.
Who is THA,There is no information found regarding your query.
Who is MZH,There is no information found regarding your query.
Who is MZH?,There is no information found regarding your query.
Cse230,Sorry can't understand you.
Full form of tnr,Sorry can't understand you.
Maid id of ishita madam?,Sorry can't understand you.
room number of roy?,There is no information found regarding your query.
phone number of mih,Sorry can't understand you.
mobile number of mih,Sorry can't understand you.
mail id of STJA,There is no information found regarding your query.
mail id of sta,There is no information found regarding your query.
mail id of stja,There is no information found regarding your query.
Mail id of tashnuba miss?,There is no information found regarding your query.
mail id of stj,There is no information found regarding your query.
email id of stja?,There is no information found regarding your query.
email id of stj?,There is no information found regarding your query.
email id of sta?,There is no information found regarding your query.
email id of tja?,There is no information found regarding your query.
email id of smt?,There is no information found regarding your query.
email id of mth?,There is no information found regarding your query.
Mail id of Kamal sir?,There is no information found regarding your query.
Mail id of kamal sir?,There is no information found regarding your quer
FEA,Sorry can't understand you.
full name of SEQ?,There is no information found regarding your query.
full name of SE O?,Sorry can't understand you.
full name of SE Q?,Sorry can't understand you.
full name of KZT?,There is no information found regarding your query.
full name of SEQ?,There is no information found regarding your query.
full name of SMQ?,There is no information found regarding your query.
full name of SSU?,There is no information found regarding your query.
full name of NHF?,There is no information found regarding your query.
full name of RMA?,There is no information found regarding your query.
Consultation hour of ish,Sorry can't understand you.
consultation hour of Annajiat sir,Sorry can't understand you.
Full name of All,There is no information found regarding your query.
AII,Sorry can't understand you.
FULL NAME MZN,Sorry can't understand you.
FULL NAME OF MZM,There is no information found regarding your query.
Full name of MIT,There is no information found regarding your query.
Room number of AAI,There is no information found regarding your query.
Full name of AAI,There is no information found regarding your query.
Who is TAW,There is no information found regarding your query.
Who is Tawhid Anwar,There is no information found regarding your query.
Who is AAI,There is no information found regarding your query.
Cse340,Sorry can't understand yo
Email id of ZHM,There is no information found regarding your query.
Mail of bbs dco,Sorry can't understand you.
Mail of smq,Sorry can't understand you.
Email id of smq?,There is no information found regarding your quer
cse427,Sorry can't understand you.
full name of HUQ,There is no information found regarding your query.
full name of huq,There is no information found regarding your query.
Full name of TAW,There is no information found regarding your query.
Cse290,Sorry can't understand you.
Cse260,Sorry can't understand you.
pay101,Sorry can't understand you.
psy101,Sorry can't understand you.
full form of msn,Sorry can't understand you.
full form of rks,Sorry can't understand you.
full name of mzh,There is no information found regarding your quer
Full name of MZH,There is no information found regarding your query.
email id of san?,There is no information found regarding your query.
Email id of sanjeeda najneen,There is no information found regarding your query.
Email Id of sanjeeda nazneen,There is no information found regarding your query.
Email Id of ROY,There is no information found regarding your query.
Email of MMM,Sorry can't understand you.
Email id of registrar,There is no information found regarding your query.
Email Id of registrar's office,There is no information found regarding your query.
Mahbub Alam Majumdar,Sorry can't understand you.
Saddam Hussain,Sorry can't understand you.
SDH,Sorry can't understand yo
"Email ID of Rakin Sir, MAT 120",There is no information found regarding your query.
Email ID of ARKA,There is no information found regarding your query.
EID MUBARAK! :3,Sorry can't understand you.
Email of DZK,Sorry can't understand you.
May I have the email address of TSM,There is no information found regarding your query.
rooooom number of aar,Sorry can't understand you.
room number  of aar,Sorry can't understand you.
Full name of tna,There is no information found regarding your query.
Notes,Sorry can't understand you.
Room number of szm,There is no information found regarding your query.
room number of szm,There is no information found regarding your query.
room number of SZM,There is no information found regarding your query.
Email id of shs,There is no information found regarding your query.
Email id of afk,There is no information found regarding your query.
Email id of khd,There is no information found regarding your query.
Email id of ko,Sorry can't understand you.
Email if of sda,Sorry can't understand you.
Email id of sda,There is no information found regarding your quer
Salman sir,Sorry can't understand you.
Initial of rubayet sir,There is no information found regarding your query.
Rak full name,Sorry can't understand you.
Fhh email address,Sorry can't understand you.
Firoz sir email,Sorry can't understand you.
FHH mail adress,Sorry can't understand you.
Dus,Sorry can't understand you.
Full name of dus,There is no information found regarding your query.
Full name of DUS,There is no information found regarding your query.
Mail of mugdho sir,Sorry can't understand you.
Tsm mail,Sorry can't understand you.
Hsf,Sorry can't understand you.
Full name of hsf,There is no information found regarding your query.
Hsf full form,Sorry can't understand yo
Ki khobor mama,Sorry can't understand you.
Is there any job?,Sorry can't understand you.
Mail id of sanwar rahman sajib,There is no information found regarding your query.
Mtf,Sorry can't understand you.
Jaba?,Sorry can't understand you.
keno bujhona?,Sorry can't understand you.
Chaa khaba?,Sorry can't understand you.
Thabramu shala,Sorry can't understand you.
Ghuma bhai. Tujse na hoga,Sorry can't understand yo
Full name of saa,There is no information found regarding your query.
Full name of aqb,There is no information found regarding your query.
Email id of ibn?,There is no information found regarding your query.
Mail id of IBN,There is no information found regarding your query.
I need no help,Sorry can't understand you.
Mail id of HMM,There is no information found regarding your query.
Mubassir,Sorry can't understand you.
Email id of m h m mubassir,Sorry can't understand yo
email id of zhs?,There is no information found regarding your query.
full name of zhs,There is no information found regarding your query.
Cse220,Sorry can't understand you.
Email of Mughdo Tanjim,Sorry can't understand you.
Email of Mit,Sorry can't understand you.
Email of Mughdo sir,Sorry can't understand you.
Email of tsm,Sorry can't understand you.
Who take 230 courses,Sorry can't understand you.
Email of MIT,Sorry can't understand you.
Full name of MIT,There is no information found regarding your query.
Email of Tawsif Shorif Snigdho,Sorry can't understand you.
Email of TSS,Sorry can't understand yo
Who takes STAT?,Sorry can't understand you.
What is bux?,Sorry can't understand you.
What is usis?,Sorry can't understand you.
MSA,Sorry can't understand you.
Yo fatass,Sorry can't understand you.
Give me the Full name of taw,There is no information found regarding your query.
Email id of ibu?,There is no information found regarding your query.
Email id of IBU?,There is no information found regarding your query.
Mail id of ibu?,There is no information found regarding your query.
Ibu,Sorry can't understand you.
Srf,Sorry can't understand you.
Mail id of TNR,There is no information found regarding your quer
mat110,Sorry can't understand you.
Who am i,Sorry can't understand you.
Where is bracu,Sorry can't understand you.
Where is brac University,Sorry can't understand you.
Who is annajiat,There is no information found regarding your query.
Mail address of saraf noor khaled,There is no information found regarding your query.
Mail address of souvik kundu,There is no information found regarding your query.
Mail id of Amb,There is no information found regarding your query.
Mail id of AMB,There is no information found regarding your query.
Ashiqua mahboob ma'ams mail id,Sorry can't understand you.
Mail id of ashiqua mahboob mam,There is no information found regarding your query.
Mail id of sbs,There is no information found regarding your query.
SBS,Sorry can't understand you.
-.-,Sorry can't understand you.
Mail id of Asheka mahboob,There is no information found regarding your query.
Mail id of Ms. Asheka Mahboob,Sorry can't understand you.
Her mail id?,Sorry can't understand you.
Mail id of SBS,There is no information found regarding your query.
Email id of Prommy Sultana Hossain,There is no information found regarding your query.
Email id of PSH,There is no information found regarding your query.
Who is ARH?,There is no information found regarding your query.
ARK,Sorry can't understand you.
Who is ARR,There is no information found regarding your query.
Full name of SEQ,There is no information found regarding your query.
Full name of WAA,There is no information found regarding your query.
Full name of ABU,There is no information found regarding your query.
Initials of Dipankar Chaki,There is no information found regarding your query.
Who is ARH,There is no information found regarding your query.
Who is ANH,There is no information found regarding your query.
Email id of ASE,There is no information found regarding your query.
Ahsan Senan email,Sorry can't understand you.
Email id of Ahsan Senan,There is no information found regarding your query.
Dipankar Chaki,Sorry can't understand you.
Email id of Dipankar Chaki,There is no information found regarding your query.
Arnisha Khondaker email id,Sorry can't understand you.
Oi,Sorry can't understand you.
Consultation Hour of MAM?,Sorry can't understand you.
Consultation of MAM?,Sorry can't understand you.
ID 18101578,Sorry can't understand you.
Mail id of FAB,There is no information found regarding your query.
mail of ara,Sorry can't understand you.
room no of dmi,There is no information found regarding your query.
room number of dmi,There is no information found regarding your query.
Room Number Of DMI?,There is no information found regarding your query.
Mail id of DMI,There is no information found regarding your query.
DMI,Sorry can't understand you.
MAM,Sorry can't understand you.
room no of dr. motaharul islam,Sorry can't understand you.
room no of sad,There is no information found regarding your query.
Mail id of psh,There is no information found regarding your query.
ting,Sorry can't understand you.
mail id of mlr,There is no information found regarding your query.
Full name of DUS?,There is no information found regarding your query.
Hum101,Sorry can't understand you.
HUM101,Sorry can't understand you.
emil id of msn?,Sorry can't understand you.
what the fuck?,Sorry can't understand you.
grading policy,Sorry can't understand you.
register office?,Sorry can't understand you.
mail id of register office?,There is no information found regarding your query.
email id of register office?,There is no information found regarding your query.
ki balta rakho?,Sorry can't understand you.
Muhammad shahnoor,Sorry can't understand you.
full name of TBA,There is no information found regarding your query.
full name of tba?,There is no information found regarding your query.
full name of TBA,There is no information found regarding your query.
?,Sorry can't understand you.
email of mit?,Sorry can't understand you.
email id of mit?,There is no information found regarding your query.
email id of msr?,There is no information found regarding your query.
full name of mit,There is no information found regarding your query.
full name of MIT,There is no information found regarding your query.
full name of taw,There is no information found regarding your query.
emai id of afa,Sorry can't understand you.
email id of afe,There is no information found regarding your quer
EMA,Sorry can't understand you.
Who takes eco421,There is no information found regarding your query.
Rfu,Sorry can't understand you.
EC0432 timing?,Sorry can't understand you.
Eco432 room number?,Sorry can't understand you.
Who is arr?,There is no information found regarding your quer
Full name of nzn?,There is no information found regarding your query.
How many clubs are there in BracU?,Sorry can't understand you.
Who's MSA?,Sorry can't understand you.
Full name of ALL?,There is no information found regarding your query.
What is the email id of IST?,There is no information found regarding your query.
Mail id of IST?,There is no information found regarding your query.
Email id of ist?,There is no information found regarding your query.
What is the initial of Tibra Ali sir,There is no information found regarding your query.
Full name of TBA?,There is no information found regarding your query.
Full name of tba?,There is no information found regarding your query.
Full name of tsm?,There is no information found regarding your query.
Initials of Tibra Ali?,There is no information found regarding your quer
How are you?,Sorry can't understand you.
You're a robot without emotions.,Sorry can't understand you.
Course outline Of bus201,Sorry can't understand you.
Who is better?,There is no information found regarding your query.
Eco202,Sorry can't understand you.
How is AAR,Sorry can't understand you.
Mail ID of MTS,There is no information found regarding your query.
Email I'd of mts,Sorry can't understand you.
Email id of mts,There is no information found regarding your query.
Email id of MTS?,There is no information found regarding your query.
Email id of MTS,There is no information found regarding your query.
Email id of maz,There is no information found regarding your query.
You suck,Sorry can't understand yo
Who is C22,There is no information found regarding your query.
Who is C06 ?,There is no information found regarding your query.
Who is tsm ?,There is no information found regarding your query.
Who is TSM ?,There is no information found regarding your query.
Who is TAW ?,There is no information found regarding your query.
Who is THD ?,There is no information found regarding your query.
Hhn ?,Sorry can't understand you.
HNA,Sorry can't understand you.
Who are you ?,Sorry can't understand you.
Sorry can't understand you.,Sorry can't understand you.
Sorry can't understand you.,Sorry can't understand you.
Who takes cse 111 courses ?,Sorry can't understand you.
Tsm,Sorry can't understand you.
TSM,Sorry can't understand you.
Who is TSM,There is no information found regarding your query.
Who takes cse 230,Sorry can't understand you.
Who is TSM ?,There is no information found regarding your query.
Wgo is FHH,Sorry can't understand you.
Who is msb,There is no information found regarding your query.
who is MHAI,There is no information found regarding your query.
who is STJA,There is no information found regarding your query.
who is aai ?,There is no information found regarding your query.
full name of mns,There is no information found regarding your query.
email id of mtf,There is no information found regarding your query.
mail id of mtf,There is no information found regarding your query.
full name of msb,There is no information found regarding your query.
email of szn,Sorry can't understand you.
Email id of snighdo sir,There is no information found regarding your query.
Email id of mit,There is no information found regarding your query.
Email id of MIT,There is no information found regarding your query.
Email id of MIT,There is no information found regarding your query.
phy112 folder,Sorry can't understand you.
phy112,Sorry can't understand you.
PHY112 lab,Sorry can't understand you.
cse221,Sorry can't understand you.
CSE221,Sorry can't understand you.
cse260,Sorry can't understand you.
CSE260,Sorry can't understand you.
New campus?,Sorry can't understand you.
Bracu new campus,Sorry can't understand you.
Consultation hour of ryb sir,Sorry can't understand you.
Star lab,Sorry can't understand you.
18101353,Sorry can't understand you.
Mail id of afia farzana,There is no information found regarding your query.
Afia farzana mail id,Sorry can't understand you.
Dzk mail id,Sorry can't understand you.
Email of sadia anwar,Sorry can't understand you.
Sadia anwar,Sorry can't understand you.
18101353,Sorry can't understand you.
Mail id of afe,There is no information found regarding your query.
Afe mail id,Sorry can't understand you.
Afe email address,Sorry can't understand you.
Brac counselling unite,Sorry can't understand you.
Room number of sdh,There is no information found regarding your query.
Email id of aaj,There is no information found regarding your query.
Full name of sqa,There is no information found regarding your query.
Email id of rjw,There is no information found regarding your quer
Full name of mza,There is no information found regarding your query.
Full name of fza,There is no information found regarding your query.
Full name of TAA,There is no information found regarding your query.
TAA,Sorry can't understand you.
Courses by sea,Sorry can't understand you.
Soc370,Sorry can't understand you.
Where does sej sit ?,Sorry can't understand you.
Room number sej,Sorry can't understand you.
Room number of mzr,There is no information found regarding your query.
Room number of mzr,There is no information found regarding your query.
Room number of MZR,There is no information found regarding your query.
Mail id of shh,There is no information found regarding your query.
room number of SES,There is no information found regarding your query.
Email of mzr,Sorry can't understand you.
Email id of mzr,There is no information found regarding your query.
Email of mzr,Sorry can't understand you.
Email address of mzr,There is no information found regarding your query.
Full name of your rfi,There is no information found regarding your query.
Who takes cse 320,Sorry can't understand you.
"CSE421 is taken by: ARF,SRJ,TBA,SFH",Sorry can't understand you.
Room number of mzk,There is no information found regarding your query.
Email address of mzk,There is no information found regarding your query.
Full name of aai,There is no information found regarding your query.
Email address of aai,There is no information found regarding your query.
Email address of MIT,There is no information found regarding your query.
Email address of WRA,There is no information found regarding your query.
full name of TAA,There is no information found regarding your quer
Full name of anh,There is no information found regarding your query.
How will the summer2020 class be conducted,Sorry can't understand you.
NNC email,Sorry can't understand you.
Email of khd,Sorry can't understand you.
email id of khd,There is no information found regarding your query.
Do you know the e-mail of SHH faculty of MNS?,Sorry can't understand you.
email of shh?,Sorry can't understand you.
email id of SHH,There is no information found regarding your query.
mail id of Dr.Shamima Hossain?,Sorry can't understand you.
SHH,Sorry can't understand you.
"""Help"" mail id of Dr.Shamima Hossain?",Sorry can't understand you.
email id of shh,There is no information found regarding your query.
you are stupid,Sorry can't understand yo
Mail of ahr,Sorry can't understand you.
Email of ahr,Sorry can't understand you.
Consultation hours of ryb,Sorry can't understand you.
full name of arr?,There is no information found regarding your query.
Who is arr,There is no information found regarding your query.
This is outstanding,Sorry can't understand you.
well done,Sorry can't understand you.
Can you put your email in this form? I've added your name and ID,Sorry can't understand you.
https://docs.google.com/spreadsheets/d/1Yy44cma9GxUkDJT57d8XIxqzvwsjQBN10-eVroVyFWA/edit#gid=683060927,Sorry can't understand you.
Mail id of Sonia bashit kabir?,There is no information found regarding your quer
email id of nis?,There is no information found regarding your query.
Email id of NAS,There is no information found regarding your query.
Email of SFH,Sorry can't understand you.
Email id of sfh,There is no information found regarding your quer
Room number of shakila zaman,Sorry can't understand you.
Room number of JNM ?,Sorry can't understand you.
Mail id of FAS,There is no information found regarding your query.
Room number of FAS?,There is no information found regarding your query.
Is FAB available?,Sorry can't understand you.
Mail id of fab,There is no information found regarding your query.
Mail id of FAS?,There is no information found regarding your query.
Email of nzmul huda?,Sorry can't understand you.
Email of ZBZ,Sorry can't understand you.
email id of mtf,There is no information found regarding your query.
upcoming holiday,Sorry can't understand you.
holidays,Sorry can't understand you.
calendar,Sorry can't understand you.
room number of mahrin tasfe,Sorry can't understand you.
mht mail,Sorry can't understand you.
Room number of dzk ?,Sorry can't understand you.
room number of dzk ?,Sorry can't understand you.
room number of nnc ?,Sorry can't understand you.
room number of mma?,There is no information found regarding your query.
room number of mit?,There is no information found regarding your query.
room number of sad?,There is no information found regarding your query.
room number of taw?,There is no information found regarding your query.
room number of rjw?,There is no information found regarding your query.
cse341 faculty,Sorry can't understand you.
which faculties are taking cse341 in spring 2020,Sorry can't understand you.
room number of raf,There is no information found regarding your query.
tahmid rafi,Sorry can't understand you.
330 lab coordinator,Sorry can't understand you.
room number of raf,There is no information found regarding your query.
email id of raf,There is no information found regarding your query.
email id of NZN,There is no information found regarding your query.
email id of aaj,There is no information found regarding your quer
Full name of tab,There is no information found regarding your query.
Tba,Sorry can't understand you.
Room number of DHL,There is no information found regarding your query.
Email if of PSH,Sorry can't understand you.
Email Id of PSH,There is no information found regarding your query.
email id of psh,There is no information found regarding your query.
Email id of SDS,There is no information found regarding your query.
.,Sorry can't understand you.
a,Sorry can't understand you.
email id of MZK?,There is no information found regarding your query.
email id of mzk?,There is no information found regarding your query.
mzk,Sorry can't understand you.
email id of msr?,There is no information found regarding your query.
email id of mzk?,There is no information found regarding your query.
what is ABD,Sorry can't understand you.
msa full form,Sorry can't understand you.
full name of MIT,There is no information found regarding your query.
full name of TAW,There is no information found regarding your query.
Who is Kaonain,There is no information found regarding your query.
full name of HSS,There is no information found regarding your query.
Shaabeeb Amin,Sorry can't understand you.
Shabeeb Amin in which department,Sorry can't understand you.
what is the initial of Shaabeeb Amin,There is no information found regarding your quer
Full name of MIT,There is no information found regarding your query.
email id of MAZ,There is no information found regarding your query.
mail if of MAZ,Sorry can't understand you.
maid id of MAZ,Sorry can't understand you.
Mail id of MAZ,There is no information found regarding your query.
full nam of MIT,Sorry can't understand you.
full name of MIT,There is no information found regarding your quer
Who is Mir Faruk?,There is no information found regarding your query.
Mir faruk,Sorry can't understand you.
Who is MIF,There is no information found regarding your query.
Who is SDS,There is no information found regarding your query.
Email of sds,Sorry can't understand you.
Email ID of sds,There is no information found regarding your quer
mail id of Wasif Ahmed Oishik sir ?,There is no information found regarding your query.
AKF mail id,Sorry can't understand you.
email id of akf,There is no information found regarding your quer
Rfi who?,Sorry can't understand you.
What does he take?,Sorry can't understand you.
Room of rfi?,Sorry can't understand you.
Room number  of rfi?,Sorry can't understand you.
Email of RFI?,Sorry can't understand you.
Email id of rfi,There is no information found regarding your query.
What is the full form of sdh,Sorry can't understand you.
Room of SDH,Sorry can't understand you.
Room number of SDH,There is no information found regarding your query.
sharmina hussain,Sorry can't understand you.
Room number of feh,There is no information found regarding your query.
Room number of fea,There is no information found regarding your query.
full name mdg,Sorry can't understand you.
full name of mdg,There is no information found regarding your quer
Full name of WAA?,There is no information found regarding your query.
Full name of RSH?,There is no information found regarding your query.
Full name of RKS?,There is no information found regarding your query.
Full name of RSM?,There is no information found regarding your query.
Phy112 lab question?,Sorry can't understand you.
Full name of ANH?,There is no information found regarding your query.
Email of NNC?,Sorry can't understand you.
Who is TBA?,There is no information found regarding your query.
Timing and route of Brac University bus,Sorry can't understand you.
Which faculty is good for CSE101?,Sorry can't understand you.
Who is akz,There is no information found regarding your query.
AKZ,Sorry can't understand you.
Who is AKZ,There is no information found regarding your quer
Who's SAD??,Sorry can't understand you.
Who is RAF,There is no information found regarding your query.
Who is RAF?,There is no information found regarding your query.
Who is best for cse230,There is no information found regarding your query.
Who is MIT,There is no information found regarding your query.
Who is NZN?,There is no information found regarding your query.
Who is NZN,There is no information found regarding your quer
How much is thw finw for applying semester fee late?,Sorry can't understand you.
How much is the fine for submitting semester fee late?,Sorry can't understand you.
How much additional fee is to be submitted for giving semester fee late?,Sorry can't understand yo
